Date,Power,Gas,Heating Oil
1/1/09,84.50,12.30,75.69
2/1/09,86.40,12.15,75.77
3/1/09,79.75,10.46,75.80
4/1/09,78.25,9.70,75.80
5/1/09,77.75,9.66,75.81
6/1/09,87.25,9.77,75.73
7/1/09,97.77,9.99,75.75
8/1/09,100.73,10.10,75.78
9/1/09,82.75,9.94,75.81
10/1/09,79.71,10.05,75.84
11/1/09,74.46,10.40,75.87
12/1/09,76.83,11.29,75.90
1/1/10,78.23,12.04,75.69
