,alpha,sigma,rho_Power,rho_Gas,rho_HO
Power,9.067,1.20,1.00,0.8339,0.72
Gas,5.023,0.59,0.8339,1,0.82
Heating Oil,6.30,0.67,0.72,0.82,1
Volume,100,4.30,0,0,0
